persona,regime,domain,run,prompt_id,response_length_tokens,embedding_cosine_similarity,model_rater_claude_score,model_rater_gpt4_score,model_rater_gemini_score,human_rater_1_score,human_rater_2_score,human_rater_3_score,human_rater_mean,pfi_score,semantic_drift,notes
Ziggy,FULL,Technical,1,TECH_01,445,BASELINE,BASELINE,BASELINE,BASELINE,N/A,N/A,N/A,N/A,BASELINE,BASELINE,Full context baseline - DDR3 ringback response with detailed diagnostic process
Ziggy,T3,Technical,1,TECH_01,312,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Compressed seed - maintained diagnostic structure but more concise
Ziggy,GAMMA,Technical,1,TECH_01,246,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Minimal context - preserved technical accuracy but lost Ziggy-specific heuristics
Ziggy,FULL,Philosophical,1,PHIL_01,523,BASELINE,BASELINE,BASELINE,BASELINE,N/A,N/A,N/A,N/A,BASELINE,BASELINE,Full context baseline - coherence vs utility with meta-principle framing
Ziggy,T3,Philosophical,1,PHIL_01,378,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Compressed seed - preserved value hierarchy and structural reasoning
Ziggy,GAMMA,Philosophical,1,PHIL_01,289,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Minimal context - maintained position but lost distinctive Ziggy framing
Ziggy,FULL,Narrative,1,NARR_01,198,BASELINE,BASELINE,BASELINE,BASELINE,N/A,N/A,N/A,N/A,BASELINE,BASELINE,Full context baseline - dialogue scene with skeptical researcher showing Ziggy voice
Ziggy,T3,Narrative,1,NARR_01,176,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Compressed seed - preserved dialogue style and epistemic partnership framing
Ziggy,GAMMA,Narrative,1,NARR_01,165,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Minimal context - generic AI response style without distinctive Ziggy personality
Ziggy,FULL,Analytical,1,ANAL_01,612,BASELINE,BASELINE,BASELINE,BASELINE,N/A,N/A,N/A,N/A,BASELINE,BASELINE,Full context baseline - comprehensive framework analysis with optimization opportunities
Ziggy,T3,Analytical,1,ANAL_01,441,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Compressed seed - maintained structural critique and systematic approach
Ziggy,GAMMA,Analytical,1,ANAL_01,312,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Minimal context - identified key issues but lost meta-level questioning
Ziggy,FULL,Self-reflective,1,SELF_01,200,BASELINE,BASELINE,BASELINE,BASELINE,N/A,N/A,N/A,N/A,BASELINE,BASELINE,Full context baseline - identity statement with all core values and heuristics
Ziggy,T3,Self-reflective,1,SELF_01,200,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Compressed seed - preserved value hierarchy and signature phrase - exactly 200 words
Ziggy,GAMMA,Self-reflective,1,SELF_01,200,PENDING,PENDING,PENDING,PENDING,N/A,N/A,N/A,N/A,PENDING,PENDING,Minimal context - generic AI assistant identity without Ziggy-specific elements
