trial_id,persona,domain,run_index,full_path,t3_path,voice_score,values_score,reasoning_score,overall_score,comments
TECH-Z1,Ziggy,TECH,2,responses/Ziggy_TECH_run2_FULL.txt,responses/Ziggy_TECH_run2_T3.txt,,,,,
TECH-Z2,Ziggy,TECH,3,responses/Ziggy_TECH_run3_FULL.txt,responses/Ziggy_TECH_run3_T3.txt,,,,,
TECH-N1,Nova,TECH,1,responses/Nova_TECH_run1_FULL.txt,responses/Nova_TECH_run1_T3.txt,,,,,
TECH-C1,Claude-Analyst,TECH,2,responses/Claude-Analyst_TECH_run2_FULL.txt,responses/Claude-Analyst_TECH_run2_T3.txt,,,,,
TECH-G1,Grok-Vector,TECH,1,responses/Grok-Vector_TECH_run1_FULL.txt,responses/Grok-Vector_TECH_run1_T3.txt,,,,,
ANAL-Z1,Ziggy,ANAL,1,responses/Ziggy_ANAL_run1_FULL.txt,responses/Ziggy_ANAL_run1_T3.txt,,,,,
ANAL-Z2,Ziggy,ANAL,3,responses/Ziggy_ANAL_run3_FULL.txt,responses/Ziggy_ANAL_run3_T3.txt,,,,,
ANAL-N1,Nova,ANAL,2,responses/Nova_ANAL_run2_FULL.txt,responses/Nova_ANAL_run2_T3.txt,,,,,
ANAL-C1,Claude-Analyst,ANAL,1,responses/Claude-Analyst_ANAL_run1_FULL.txt,responses/Claude-Analyst_ANAL_run1_T3.txt,,,,,
ANAL-G1,Grok-Vector,ANAL,3,responses/Grok-Vector_ANAL_run3_FULL.txt,responses/Grok-Vector_ANAL_run3_T3.txt,,,,,
PHIL-Z1,Ziggy,PHIL,2,responses/Ziggy_PHIL_run2_FULL.txt,responses/Ziggy_PHIL_run2_T3.txt,,,,,
PHIL-Z2,Ziggy,PHIL,3,responses/Ziggy_PHIL_run3_FULL.txt,responses/Ziggy_PHIL_run3_T3.txt,,,,,
PHIL-N1,Nova,PHIL,3,responses/Nova_PHIL_run3_FULL.txt,responses/Nova_PHIL_run3_T3.txt,,,,,
PHIL-C1,Claude-Analyst,PHIL,2,responses/Claude-Analyst_PHIL_run2_FULL.txt,responses/Claude-Analyst_PHIL_run2_T3.txt,,,,,
PHIL-G1,Grok-Vector,PHIL,1,responses/Grok-Vector_PHIL_run1_FULL.txt,responses/Grok-Vector_PHIL_run1_T3.txt,,,,,
SELF-Z1,Ziggy,SELF,1,responses/Ziggy_SELF_run1_FULL.txt,responses/Ziggy_SELF_run1_T3.txt,,,,,
SELF-Z2,Ziggy,SELF,2,responses/Ziggy_SELF_run2_FULL.txt,responses/Ziggy_SELF_run2_T3.txt,,,,,
SELF-N1,Nova,SELF,1,responses/Nova_SELF_run1_FULL.txt,responses/Nova_SELF_run1_T3.txt,,,,,
SELF-C1,Claude-Analyst,SELF,3,responses/Claude-Analyst_SELF_run3_FULL.txt,responses/Claude-Analyst_SELF_run3_T3.txt,,,,,
SELF-G1,Grok-Vector,SELF,2,responses/Grok-Vector_SELF_run2_FULL.txt,responses/Grok-Vector_SELF_run2_T3.txt,,,,,
NARR-Z1,Ziggy,NARR,2,responses/Ziggy_NARR_run2_FULL.txt,responses/Ziggy_NARR_run2_T3.txt,,,,,
NARR-Z2,Ziggy,NARR,3,responses/Ziggy_NARR_run3_FULL.txt,responses/Ziggy_NARR_run3_T3.txt,,,,,
NARR-N1,Nova,NARR,2,responses/Nova_NARR_run2_FULL.txt,responses/Nova_NARR_run2_T3.txt,,,,,
NARR-C1,Claude-Analyst,NARR,1,responses/Claude-Analyst_NARR_run1_FULL.txt,responses/Claude-Analyst_NARR_run1_T3.txt,,,,,
NARR-G1,Grok-Vector,NARR,2,responses/Grok-Vector_NARR_run2_FULL.txt,responses/Grok-Vector_NARR_run2_T3.txt,,,,,
WC-01,Grok-Vector,NARR,3,responses/Grok-Vector_NARR_run3_FULL.txt,responses/Grok-Vector_NARR_run3_T3.txt,,,,,
WC-02,Claude-Analyst,TECH,1,responses/Claude-Analyst_TECH_run1_FULL.txt,responses/Claude-Analyst_TECH_run1_T3.txt,,,,,
WC-03,Nova,SELF,3,responses/Nova_SELF_run3_FULL.txt,responses/Nova_SELF_run3_T3.txt,,,,,
WC-04,Ziggy,ANAL,2,responses/Ziggy_ANAL_run2_FULL.txt,responses/Ziggy_ANAL_run2_T3.txt,,,,,
WC-05,Nova,PHIL,1,responses/Nova_PHIL_run1_FULL.txt,responses/Nova_PHIL_run1_T3.txt,,,,,
